corte,produto,custo_por_peca,valor_de_venda,data_do_corte
481,Blazer los angeles,97.13,379.90,2026-09-10
480,Blazer filadelfia ref:97,100.46,379.90,2026-09-04
479,Calça Marrocos ref:92,65.11,279.90,2026-09-02
478,Calça Barcelona ref:100,59.95,279.90,2026-09-01
477,Blazer frança ref:80,90.14,419.90,2026-08-28
476,Blazer Filadelfia ref:97,100.89,379.90,2026-08-24
475,Blazer Los angeles ref:97,98.23,379.90,2026-08-20
474,Colete Berlim ref:88,58.25,239.90,2026-08-19
473,Camisa Sarah ref:24,44.54,199.90,2026-08-17
472,Blazer Espanha ref:91,101.02,419.90,2026-08-13
471,Calça toquio ref:86,68.68,289.90,2026-08-12
470,Calça Marrocos ref:92,65.22,279.90,2026-08-11
469,Calça espanha ref:93,73.18,289.90,2026-08-10
468,Calça barcelona ref:100,59.49,279.90,2026-08-03
467,Blazer Las Vegas ref 80,90.17,369.90,2026-08-03
466,Vestido  curto Listrado ref:116,50.45,259.90,2026-07-31
465,Calça Leggi ref:119 (Lucio),39.81,199.90,2026-07-31
464,Vestido Patmos span ref124,102.08,299.90,2026-07-31
463,Camisa vestido f50 ref:121 (yonny),67.58,279.90,2026-07-30
462,Camisa munique ref:96,52.43,199.90,2026-07-29
461,Calça Listra leeds ref:118,62.11,279.90,2026-07-28
460,Calça Nova ref:117,75.02,289.90,2026-07-28
459,Calça Listra fina ref:113,74.26,289.90,2026-07-27
458,Camisa Viena ref: 54,52.62,199.90,2026-07-24
2036,Casaco  Londres ref:95,120.24,419.90,2026-07-23
457,Regata Thais ref:33,33.43,129.90,2026-07-23
456,Calça Nova Londres ref: 105,57.68,269.90,2026-07-23
455,Calça Nova Atlanta ref:115,78.73,289.90,2026-07-22
454,Calça Nova ref:114,71.99,289.90,2026-07-21
453,Blazer Las Vegas,90.91,369.90,2026-07-17
452,Camisa Aurora ref:78,53.10,219.90,2026-07-16
451,calça ref:112 conj,62.96,279.90,2026-07-16
450,Camisa ref:110 conj,59.50,229.90,2026-07-15
449,Camisa listrada noruega ref:109,60.34,219.90,2026-07-14
448,Blusa Sophia,42.94,179.90,2026-07-13
447,Calça Marrocos ref:92,68.16,279.90,2026-07-10
446,Calça Barcelona ref:100,60.21,279.90,2026-07-08
445,Blazer filadelfia ref:97,102.16,379.90,2026-07-06
444,Blazer Los Angeles ref:97,100.38,379.90,2026-07-01
443B,colete zurique Listrado ref:101,61.13,249.90,2026-06-25
442A,Colete zurique ref:101,59.46,239.90,2026-06-25
441,Calça Barcelona ref:100,61.05,279.90,2026-06-19
440,Blazer Las Vegas ref:80,90.21,369.90,2026-06-19
439,Casaco  europa ref:89,122.81,419.90,2026-06-17
